ID;Description;English;Testing
711;Help Pages;点击商店中某物种旁边的信息图标，即可打开 物种信息面板。该面板显示该物种的一些基本数据，并提供关于物种偏好栖息地的信息。;TestVal711
712;Help Pages;健康;TestVal712
713;Help Pages;将生物放入世界后，你需要留意它的健康。随着生物变老，它的健康会自然下降。健康也受环境因素、当地种群数量和物理伤害的影响。当健康值降为零时，动物或植物就会死亡。;TestVal713
714;Help Pages;繁殖;TestVal714
715;Help Pages;Equilinox 中的所有物种都会自动繁殖，你不需要做任何事。这会导致植物在附近区域蔓延，动物种群不断增长。;TestVal715
716;Help Pages;栖息地;TestVal716
717;Help Pages;所有物种对周围环境都有一定的偏好。有些喜欢生活在特定的海拔或生物群系中，而有些可能需要某些植物或岩石的存在。你可以在 物种信息面板 中查看物种的栖息地偏好。;TestVal717
718;Help Pages;食物与资源;TestVal718
719;Help Pages;Equilinox 中的许多生物需要特定的资源，如食物或建筑材料。你需要确保它们有可持续的生存供给，以保持生态系统平衡。;TestVal719
720;Help Pages;多样性点数 (DP);TestVal720
721;Help Pages;多样性点是游戏内货币，有多种赚取和消费方式。;TestVal721
722;Help Pages;从动物赚取 DP;TestVal722
723;Help Pages;赚取 DP 的一种方式是让动物在世界中生存。每只动物每分钟都会产生少量 DP。动物越快乐越健康，产生的 DP 就越多。你每分钟从动物那里赚取的 DP 总额显示在工具栏上。;TestVal723
724;Help Pages;从任务赚取 DP;TestVal724
725;Help Pages;完成游戏内任务是赚取 DP 的另一种方式。完成任务后你会获得一些 DP 奖励。许多任务是可重复的，这意味着你可以一遍又一遍地完成它们并每次都获得奖励。因此，这些任务可以为你提供稳定的 DP 收入。;TestVal725
726;Help Pages;商店;TestVal726
727;Help Pages;赚到一些 DP 后，你就会想花掉它！一种方式是在商店购买新物种和物品放进你的世界。点击想买的物品，然后将其放入世界即可购买。;TestVal727
728;Help Pages;购买基因改造;TestVal728
729;Help Pages;DP 的另一个用途是基因改造动物和植物的特性。这在 遗传学 帮助部分有更多介绍，但基本上你可以支付 DP 来基因改造一个物种的特征。;TestVal729
730;Help Pages;解锁新物种;TestVal730
731;Help Pages;多样性点的最后一种用途是通过进化系统解锁新物种。要开始进化新物种，你首先需要支付 DP 费用。想了解更多，请查看 进化 帮助部分。;TestVal731
732;Help Pages;生物群系;TestVal732
733;Help Pages;当你开始用生命填满世界时，你会注意到地形开始变色。这就是生物群系，它们由植物传播，许多不同的物种都需要它们。;TestVal733
734;Help Pages;传播生物群系;TestVal734
735;Help Pages;一些植物有能力在它们生长的区域周围传播生物群系。不同的植物传播不同的生物群系。你可以在 物种信息面板 中查看植物传播哪种生物群系。;TestVal735
736;Help Pages;生物群系的用途;TestVal736
737;Help Pages;有些物种需要生活在特定的生物群系中才能生存，而有些物种则有根本无法忍受的生物群系。你可以在 物种信息面板 的 栖息地 标签中查看物种偏好哪些生物群系。某些生物群系也经常是进化新物种时所需的。;TestVal737
738;Help Pages;生物群系测试工具;TestVal738
739;Help Pages;在屏幕顶部的工具栏中，你可以找到 生物群系测试仪 工具。选中该工具后，你可以将鼠标悬停在地形的任何部分上，查看该点各种生物群系的强度。;TestVal739
740;Help Pages;遗传学;TestVal740
741;Help Pages;你世界中的每株植物和每只动物都有特性。特性决定植物或动物的某些特征，并在繁殖过程中传给后代。;TestVal741
742;Help Pages;特性;TestVal742
743;Help Pages;植物/动物的特性决定它的某些特征，如速度、颜色或产量。你可以通过点击任何野生动物来打开状态面板并进入特性标签，查看它的特性。;TestVal743
744;Help Pages;繁殖;TestVal744
745;Help Pages;植物或动物繁殖时，它们的特性会传给后代，但会有细微变化。这意味着后代通常与父母长得相似、特征相近。;TestVal745
746;Help Pages;定向培育;TestVal746
747;Help Pages;在特性标签中，你会找到定向培育该生物的选项。选择此选项会使该动物或植物成为当地的主要繁殖者。几乎所有繁殖都会涉及那株植物或那只动物，这意味着许多后代都会具有与它相似的特性。这是复制你所欣赏的特定特征的好方法。;TestVal747
748;Help Pages;基因改造;TestVal748
749;Help Pages;你可以花费 DP 修改繁殖过程中遗传的特性。选择 定向培育 选项后，点击某个特性旁边的按钮并选择一种改造。满意后，可以支付一些 DP 购买该改造。这些改造会在繁殖遗传特性时生效，所以结果只会体现在后代身上。;TestVal749
750;Help Pages;开始上手;TestVal750
751;Help Pages;欢迎来到 Equilinox！本节将教你游戏的基础知识，帮助你开始创建第一批生态系统。;TestVal751
752;Help Pages;物种商店;TestVal752
760;Help Pages;进化物种;TestVal760
761;Help Pages;随着游戏进度推进，你将能够进化现有的野生动植物，解锁令人兴奋的新物种！;TestVal761
762;Help Pages;进化树;TestVal762
763;Help Pages;Equilinox 中的许多物种必须先由其他物种进化而来。你可以在 物种信息面板 中点击 进化树标签 查看某个物种的进化树。这里显示从选中的植物/动物可以进化出的所有物种。;TestVal763
764;Help Pages;进化条件;TestVal764
765;Help Pages;要进化新物种，必须满足某些条件。将鼠标悬停在进化树中未发现的物种上，查看进化该物种的条件。父物种需要满足这些条件才能解锁子物种。这些条件可能是生活在特定生物群系、有特定饮食，或是某种颜色等。;TestVal765
766;Help Pages;开始进化过程;TestVal766
767;Help Pages;要开始进化，请在世界中点击要进化的植物或动物，进入 进化 标签。这里可以看到可以进化出哪些子物种。点击子物种旁边的箭头查看条件，如果条件满足，就可以支付一些 DP 开始进化过程！;TestVal767
768;Help Pages;进化中;TestVal768
769;Help Pages;开始进化过程后，会显示一个进度条。只要进化条件仍然满足，进度就会随时间慢慢增加。当进度条走满时，新物种就会诞生！;TestVal769
770;Help Pages;新物种;TestVal770
771;Help Pages;新的植物或动物物种会出现在世界中靠近父母的地方。它头上有图标，所以很容易发现！这个新物种需要自己的生存区域，所以你可以点击它把它捡起来，放到合适的位置。;TestVal771
772;Help Pages;状态面板;TestVal772
773;Help Pages;你可以点击世界中的任何植物或动物，打开它的状态面板。该面板包含所选植物/动物的状态和信息，还允许你对它做一些更改。;TestVal773
774;Help Pages;状态标签;TestVal774
775;Help Pages;第一个标签是状态标签，显示生物当前的状态。包括年龄、健康、环境满意度和饥饿度等。对动物来说，它还会显示当前饮食，并告诉你它们正在做什么。;TestVal775
776;Help Pages;特性标签;TestVal776
777;Help Pages;该标签显示植物或动物从父母那里继承的特性。你还会找到定向培育这种生物和基因改造其特性的选项。你可以在 遗传学 帮助部分了解更多信息。;TestVal777
778;Help Pages;进化标签;TestVal778
779;Help Pages;Equilinox 中的一些物种可以进化以解锁新物种。在进化标签中，你可以开始子物种的进化过程。你可以在 进化物种 帮助部分了解更多关于进化的信息。;TestVal779
780;Help Pages;增益标签;TestVal780
781;Help Pages;动物或植物的行为会受到周围环境的影响。例如，附近有昆虫生活时，果树会获得果实产量加成。该标签显示生物当前受到的影响，如果将鼠标悬停在增益上，它会解释原因。;TestVal781
782;Help Pages;操作;TestVal782
783;Help Pages;操作标签提供可以对生物执行的各种操作。这些操作包括将其从世界中移除、移动到不同位置，或操控动物的移动等。;TestVal783
784;Help Pages;信息按钮;TestVal784
785;Help Pages;点击信息按钮会打开 物种信息面板。该面板包含关于这个特定物种的基本信息。;TestVal785
786;Rose;玫瑰;TestVal786
787;Rose;一朵美丽的玫瑰。通常玫瑰长在小灌木丛中，但这朵不是！这朵可爱的花可以在许多不同的生物群系中快乐生长。;TestVal787
788;Sunflower;向日葵;TestVal788
789;Sunflower;一朵会转向太阳的高大黄花。这种花更喜欢生活在没有树的地区，这样它就能一整天都完全看到太阳。;TestVal789
790;Pansies;三色堇;TestVal790
791;Pansies;一小束颜色漂亮的花。这些花在大多数肥沃地区都能良好生长，但无法在丛林中生长。;TestVal791
792;Lily;百合;TestVal792
793;Lily;一簇白色的小林地花。这些花能在大多数绿色生物群系中生长，对蜜蜂有安抚作用。;TestVal793
794;Follow entity UI title;跟随中;TestVal794
795;Game saved message;游戏已保存！;TestVal795
796;Biome Name;草原;TestVal796
797;Biome Name;森林;TestVal797
798;Biome Name;河床;TestVal798
799;Biome Name;沙漠;TestVal799
800;Biome Name;雪原;TestVal800
801;Biome Name;丛林;TestVal801
802;Biome Name;沼泽;TestVal802
803;Biome Name;繁茂;TestVal803
804;Biome Name;林地;TestVal804
805;Biome Name;热带;TestVal805
806;Category Name;植物;TestVal806
807;Category Name;动物;TestVal807
808;Category Name;非生命体;TestVal808
809;Category Name;树木;TestVal809
810;Category Name;森林树木;TestVal810
811;Category Name;草原树木;TestVal811
812;Category Name;林地树木;TestVal812
813;Category Name;繁茂树木;TestVal813
814;Category Name;沙漠树木;TestVal814
815;Category Name;山地树木;TestVal815
816;Category Name;沼泽树木;TestVal816
817;Category Name;丛林树木;TestVal817
818;Category Name;热带树木;TestVal818
819;Category Name;灌木;TestVal819
820;Category Name;仙人掌;TestVal820
821;Category Name;小型植物;TestVal821
822;Category Name;水生植物;TestVal822
823;Category Name;禾草;TestVal823
824;Category Name;根茎蔬菜;TestVal824
825;Category Name;蔬菜植株;TestVal825
826;Category Name;蕨类;TestVal826
827;Category Name;花卉;TestVal827
828;Category Name;草本植物;TestVal828
829;Category Name;蘑菇;TestVal829
830;Category Name;果灌木;TestVal830
831;Category Name;叶灌木;TestVal831
832;Category Name;岩石/石块;TestVal832
833;Category Name;石块;TestVal833
834;Category Name;大岩石;TestVal834
835;Category Name;其他;TestVal835
836;Category Name;云;TestVal836
837;Category Name;落果;TestVal837
838;Category Name;蔬菜;TestVal838
839;Category Name;坚果;TestVal839
840;Category Name;肉类;TestVal840
841;Category Name;建筑结构;TestVal841
842;Category Name;鱼类;TestVal842
843;Category Name;小型鱼类;TestVal843
844;Category Name;大型鱼类;TestVal844
845;Category Name;食草动物;TestVal845
846;Category Name;鸟类;TestVal846
847;Category Name;小型鸟类;TestVal847
848;Category Name;猛禽;TestVal848
849;Category Name;食肉动物;TestVal849
850;Category Name;小型食肉动物;TestVal850
851;Category Name;大型食肉动物;TestVal851
852;Category Name;昆虫;TestVal852
853;Category Name;爬行动物;TestVal853
854;Category Name;大型食草动物;TestVal854
855;Category Name;中型食草动物;TestVal855
856;Category Name;小型食草动物;TestVal856
857;Sounds from website, in credits;声音来源;TestVal857
858;Sounds from website, in credits;更多声音来源;TestVal858
859;Check List Category;植物清单;TestVal859
860;Check List Category;动物清单;TestVal860
861;Check List Category;音乐曲目清单;TestVal861
862;Check List Category;任务清单;TestVal862
863;Progress text in progress bar;进度;TestVal863
864;Hunting Task requirement, 0=prey;已捕猎 $0$;TestVal864
865;Hunting Task requirement, 0=count, 1=predator, 2=prey;让一只 $1$ 捕猎 $0$ 个 $2$;TestVal865
866;Fox Hunting Task;狐狸狩猎;TestVal866
867;Fox Hunting Task;Equilinox 中并非所有动物都可爱可亲。有些是凶残的野兽，以猎物的血肉为食！狐狸需要吃肉，所以把它们放在有鸡或其他合适小生物的区域附近，让它们去狩猎。;TestVal867
868;Wolf hunting task;披着羊皮的狼;TestVal868
869;Wolf hunting task;狼饿了，羊在菜单上。在羊群区域附近创建一片狼群区域。狼会定期去狩猎抓捕羊。;TestVal869
870;Dp per minute stat;基础每分钟 DP;TestVal870
871;Disease Resistance stat;疾病抗性;TestVal871
872;Age stat;年龄;TestVal872
873;Species Evolved Notification;物种已进化！;TestVal873
874;Species Evolved Notification;你已成功进化出;TestVal874
875;Health Stats;健康;TestVal875
876;Health Stats;环境;TestVal876
877;Health Stats;饥饿;TestVal877
878;Health Stats;预期寿命;TestVal878
879;Health Stats;种群密度;TestVal879
880;Health Stats;伤害;TestVal880
881;Health Stats;疾病;TestVal881
882;Growth Stat;生长;TestVal882
883;Growth Time stat;生长时间;TestVal883
884;Number of a species in the world text;在世界中;TestVal884
885;World Name;世界名称;TestVal885
886;Hide UI Option;隐藏界面;TestVal886
887;Reset Camera Option;重置视角;TestVal887
888;Save Stats;上次游玩;TestVal888
889;Save Stats;生物数量;TestVal889
890;Save Stats;已完成任务;TestVal890
891;Save Stats;点数;TestVal891
892;Time Words;年;TestVal892
893;Time Words;年;TestVal893
894;Time Words;天;TestVal894
895;Time Words;天;TestVal895
896;Time Words;小时;TestVal896
897;Time Words;小时;TestVal897
898;Size Trait Name;体型;TestVal898
899;Edibility Trait Name;可食性;TestVal899
900;Food Section Name;叶子;TestVal900
901;Food Section Name;花蜜;TestVal901
902;Food Section Name;植物;TestVal902
903;Food Section Name;肉;TestVal903
904;Food Section Name;种子;TestVal904
905;Food Section Name;仙人掌水;TestVal905
906;Food Section Name;水果;TestVal906
907;Food Section Name;芜菁;TestVal907
908;Food Section Name;胡萝卜;TestVal908
909;Food Section Name;整株植物;TestVal909
910;Food Section Name;马铃薯;TestVal910
911;Food Section Name;蜂蜜;TestVal911
912;Food Section Name;树皮;TestVal912
913;Natural Colour Stat;自然颜色;TestVal913
914;Biome spreader stat (this plant spreads...);传播;TestVal914
915;Biome;生物群系;TestVal915
916;Species Category;类别;TestVal916
917;Unsuitable biomes factor name;不适宜生物群系;TestVal917
918;Liked Species Factor;喜欢的物种;TestVal918
919;Fave Biome Factor;最爱的生物群系;TestVal919
920;Environment;环境;TestVal920
921;Enviro satisfaction requirement;满意度;TestVal921
922;Below (an altitude);低于;TestVal922
923;Above (an altitude);高于;TestVal923
924;and;和;TestVal924
925;Between (two altitudes);介于;TestVal925
926;Transplant Option for entities;移栽;TestVal926
927;Remove Option for Entity;移除;TestVal927
928;Follow Option for entity;跟随;TestVal928
929;Dp per minute;dp/分;TestVal929
930;Make noise option for animals;发声;TestVal930
931;Entity speed stat;速度;TestVal931
932;meters per second;米/秒;TestVal932
933;Bounce power stat;弹跳力;TestVal933
934;Bounce power units;弹;TestVal934
935;Target (colour);目标;TestVal935
936;Cost;费用;TestVal936
937;Cancel;取消;TestVal937
938;Buy;购买;TestVal938
939;Colours;自定义;TestVal939
940;Colours;红色;TestVal940
941;Colours;黄色;TestVal941
942;Colours;橙色;TestVal942
943;Colours;深橙色;TestVal943
944;Colours;浅蓝色;TestVal944
945;Colours;深蓝色;TestVal945
946;Colours;粉色;TestVal946
947;Colours;紫色;TestVal947
948;Colours;深紫色;TestVal948
949;Colours;青色;TestVal949
950;Colours;米色;TestVal950
951;Colours;泥色;TestVal951
952;Colours;棕色;TestVal952
953;Colours;深棕色;TestVal953
954;Colours;黄绿色;TestVal954
955;Colours;深绿色;TestVal955
956;Colours;蓝绿色;TestVal956
957;Colours;浅绿色;TestVal957
958;Colours;绿色;TestVal958
959;Colours;淡绿色;TestVal959
960;Colours;土绿色;TestVal960
961;Colours;金色;TestVal961
962;Colours;白色;TestVal962
963;Colours;灰色;TestVal963
964;Colours;黑色;TestVal964
965;Display Size setting;显示尺寸;TestVal965
966;Language setting;语言;TestVal966
967;Restart message;重启游戏以使这些更改生效。;TestVal967
968;Full screen option;全屏;TestVal968
969;Graphics Presets;图形预设;TestVal969
970;Graphics Presets;自定义;TestVal970
971;Graphics Presets;最低;TestVal971
972;Graphics Presets;低;TestVal972
973;Graphics Presets;中;TestVal973
974;Graphics Presets;高;TestVal974
975;Floppy Tree Name;塔形树;TestVal975
976;Floppy Tree Desc;一种优雅的草原树木，在较潮湿的地区茁壮成长。它也能在沼泽和丛林般的环境中生存，更喜欢多石的地区。虽然生长缓慢，但看起来棒极了！;TestVal976
977;Half Grown Oak Task;半成的橡树;TestVal977
978;Half Grown Oak Task;将一棵橡树培育到超过 50% 的成熟度;TestVal978
979;Baby sheep behaviour description;玩耍中;TestVal979
980;Trait modification increase amount label;增加;TestVal980
981;Trait;特性;TestVal981
982;Earning Dp task name;兑换现金;TestVal982
983;Earning DP task description;多样性点数 (DP) 是你在 Equilinox 中的货币。你可以通过动物或完成任务赚取 DP。每只动物每分钟都会产生少量 DP，更健康、更快乐、完全长大的动物产生更多。你可以在工具栏中看到每分钟从动物那里赚取的 DP 总额。;TestVal983
984;DP earning requirement short desc;每分钟 DP;TestVal984
985;DP earning requirement long desc, 0 = amount;每分钟赚取超过 $0$ DP;TestVal985
986;View plant option;查看;TestVal986
987;Honey Name;蜂蜜;TestVal987
988;Growth Speed;生长速度;TestVal988
989;Growth explanation;生长速度受植物/动物对环境的适应程度影响。;TestVal989
990;Population Status;平均;TestVal990
991;Population Status;高;TestVal991
992;Population Status;低;TestVal992
993;Yield Trait (how many fruit/vegetables produced by a plant);产量;TestVal993
994;Potato unit;份。;TestVal994
995;Viewing entity title;查看中;TestVal995
996;Sleeping Ability;在夜间睡觉。;TestVal996
997;Repeat tool tip title;循环播放;TestVal997
998;Repeat tool tip;队列中的曲目将循环播放，让你可以创建自己喜欢的曲目的播放列表。;TestVal998
999;Disease Status Stat name;状态;TestVal999
1000;Dieseased;已患病！;TestVal1000
1001;Not Diseased;健康;TestVal1001
1002;Generation (as in family and decendants generations);代数;TestVal1002
1003;Corrupt File;损坏的文件;TestVal1003
1004;Corrupt File Message;这个世界的存档文件不幸无法读取。使用下面的按钮删除此存档。;TestVal1004
1005;Corrupt File Name;错误;TestVal1005
1006;Error message;加载世界时出错！;TestVal1006
1007;Healbloom Flower;治愈花;TestVal1007
1008;Healbloom Description;这种稀有花只能在非常特定的热带地区生长，生长速度比普通花慢得多。完全长大后，这种植物可以移栽到另一个区域，在那里它会死亡并释放出宝贵的种子。这些种子具有治愈功效，对患病的动物非常有用。;TestVal1008
1009;Disease Notification;疾病！;TestVal1009
1010;Disease message, 0 = animal name;一只 $0$ 因栖息地质量不佳而感染了疾病。;TestVal1010
1011;Searching for disease cure behaviour;寻找解药;TestVal1011
1012;Autumnal Tree;秋树;TestVal1012
1013;Autumnal Tree;一棵全年都长着秋色叶子的雄伟树木。这棵美丽的树喜欢在岩石地带独处生长，不需要土地非常肥沃。;TestVal1013
1014;Disease liklihood buff name;患病概率;TestVal1014
1015;Heal liklihood buff name;治愈概率;TestVal1015
1016;Disease liklihood explained;这是这只动物在未来一天内患病的概率。如果动物对环境不满意，或者疾病抗性特性较低，患病的可能性就会增加。;TestVal1016
1017;Heal liklihood explained;动物每次因疾病受到伤害时，都有机会被治愈。这就是发生这种情况的可能性。越健康的动物，这个机会就越高。;TestVal1017
1018;Disease Help Page Info;疾病;TestVal1018
1019;Disease Help Page Info;如果动物生活在不合格的栖息地中，它们就容易感染疾病。患病的动物会随时间持续受到伤害，还可能把疾病传播给附近的其他动物。;TestVal1019
1020;Disease Help Page Info;感染疾病;TestVal1020
1021;Disease Help Page Info;动物感染疾病的概率取决于它的环境满意度。动物对环境越不满意，患病的可能性就越大。动物还有疾病抗性特性，决定它患病的倾向。;TestVal1021
1022;Disease Help Page Info;疾病影响;TestVal1022
1023;Disease Help Page Info;患病时，动物会随时间缓慢受到伤害，除非被治愈，否则最终会死亡。动物还可能感染附近的其他动物，健康状况较差的动物感染风险更高。;TestVal1023
1024;Disease Help Page Info;治愈疾病;TestVal1024
1025;Disease Help Page Info;受感染的动物有可能自然痊愈，环境越好，这个可能性就越高。还有一些植物可以帮助治愈动物，例如治愈花的花种或巫木树的果实。;TestVal1025
1026;Starting Help Page Info;多样性点数 (DP);TestVal1026
1027;Starting Help Page Info;在屏幕的最左上角，你可以看到你拥有的多样性点数。这些点数是 Equilinox 中的货币。你可以通过完成任务以及让健康快乐的动物在世界中生存来赚取 DP。DP 可以花在很多地方，例如从商店购买物品、基因改造野生动物以及进化新物种。想了解更多，请查看 多样性点数 帮助部分。;TestVal1027
1028;Starting Help Page Info;商店;TestVal1028
1029;Starting Help Page Info;Equilinox 中有两个商店，一个卖植物，一个卖动物。点击商店中已解锁且买得起的物种，然后左键点击你想放置的位置将其放入世界。随着游戏进度推进，你会解锁越来越多的物种。;TestVal1029
1030;Starting Help Page Info;状态面板;TestVal1030
1031;Starting Help Page Info;在世界中放置一些植物或动物后，你可以通过点击世界中的生物来查看它们的状态。这会打开状态面板。在这里你可以找到关于动物/植物的所有统计数据，如健康、年龄、环境满意度等。你可以在 状态面板 帮助部分了解更多关于该面板其他功能的信息。;TestVal1031
1032;Starting Help Page Info;任务;TestVal1032
1033;Starting Help Page Info;Equilinox 中有各种可以完成的任务，它们会为你提供各种奖励，如 DP、新音乐曲目和世界的新物种。前几个任务会带你了解游戏的基础知识，跟着它们开始取得进展吧！;TestVal1033
1034;Starting Help Page Info;多元化;TestVal1034
1035;Starting Help Page Info;现在你可以开始创建自己的生态系统了！随着你取得进展，你将获得越来越多种类的动植物，并能够创建一些复杂而美丽的生态系统。只要确保它们保持平衡并处于生态平衡状态！;TestVal1035
1036;Witch Wood Tree;巫木树;TestVal1036
1037;Witch Wood Tree;这棵高大的藤蔓树生长在非常特定的丛林地区，比大多数普通树生长得慢。完全长大后，这棵树会结出亮蓝色的果实，可以喂给患病的动物以治愈它们。;TestVal1037
1038;Witchwood Fruit;巫木果;TestVal1038
1039;Witchwood Fruit;这种亮蓝色的果实可以喂给患病的动物。食用后会对动物产生治愈效果，治愈疾病并恢复部分伤害。;TestVal1039
1040;Borderless window option;无边框窗口;TestVal1040
1041;Paused Evolution process;已暂停;TestVal1041
1042;Take over evolving process;接管进化;TestVal1042
1043;Continue Evolving Process;继续进化;TestVal1043
1044;Evolve process stopped notification;进化已暂停！;TestVal1044
1045;Evolve process stopped notification, 0 = name of species;执行 $0$ 进化过程的生物已经死亡。;TestVal1045
1046;How to evolve disgram - title;如何进化;TestVal1046
1047;Evolution Tree diagram title;进化树;TestVal1047
1048;Dove Bird Name;鸽子;TestVal1048
1049;Dove description;一种美丽的白色鸟。;TestVal1049
1050;In the categories filter (in the shop), the SHOW ALL option;全部;TestVal1050
1051;No Requirement for shop filter;无需求;TestVal1051
1052;Shop filter, lives in biome filter;生活的生物群系;TestVal1052
1053;Shop Filter, spreads biome filter;传播的生物群系;TestVal1053
1054;Lives in biome prefix;生活在;TestVal1054
1055;Spreads biome prefix;传播;TestVal1055
1056;Brown Stones Name;褐色石块;TestVal1056
1057;Brown Rocks Name;岩石;TestVal1057
1058;Brown Stones Description;一堆小的褐色石块。许多植物和动物都喜欢栖息地中有小石块和岩石。;TestVal1058
1059;Bigger UI option;放大界面;TestVal1059
1060;Beaver Ability;砍伐树木，用树枝建造巢穴。;TestVal1060
1061;Trait being displayed;显示中;TestVal1061
1062;Fruit productivity trait name;生产力;TestVal1062
1063;Evolution status section of progress list;进化概览;TestVal1063
1064;Which species it evolves from;由以下物种进化而来;TestVal1064
1065;Control a Sheep Task Name;操控一只绵羊;TestVal1065
1066;Control Sheep desc;如果你愿意，可以操控动物并让它们移动。点击一只绵羊，进入 操作 标签，选择 操控 选项。查看操作标签了解如何控制动物行为的信息。;TestVal1066
1067;Completionist Task name;完美主义者;TestVal1067
1068;Completionist task desc;完成 Equilinox 中的所有任务！;TestVal1068
1069;Vsync Option;垂直同步;TestVal1069
1070;Delete entity option;删除模式;TestVal1070
1071;Follow selected entity option;跟随选中的物体;TestVal1071
1072;Screenshot option;截图;TestVal1072
1073;Evolution task Requirement, $0$=species name;进化 $0$ 物种;TestVal1073
1074;Perch Spot Behaviour;为鸟类提供栖息点。;TestVal1074
1075;Mutation Notification;突变！;TestVal1075
1076;Mutation Notification, 0 = species name;一只奇怪的 $0$ 带着不寻常的突变出生了。;TestVal1076
1077;Potato Eating Task Name;马铃薯派对;TestVal1077
1078;Potato Eating Task Name;豚鼠想吃一些马铃薯，所以需要你来提供！不过它们不想只吃植株，而是想吃马铃薯本身。它们可能需要其他动物帮忙先把马铃薯挖出来。;TestVal1078
1079;Banana;香蕉;TestVal1079
1080;Error saving;保存时出错！请通知开发者。;TestVal1080
1081;second cam move controls;或 W,A,S,D;TestVal1081
1082;second cam rotate controls;或 左 Shift + 移动鼠标;TestVal1082
1083;second cam zoom controls;或 X、Z 键;TestVal1083
1084;Beehive contents;蜂蜜;TestVal1084
1085;Honey stat;蜂蜜含量;TestVal1085
1086;Placement Feedback;没问题;TestVal1086
1087;Placement Feedback;必须放置在干燥的陆地上！;TestVal1087
1088;Placement Feedback;需要更多水！;TestVal1088
1089;Placement Feedback;其他物体靠得太近。;TestVal1089
1090;No environmental factors note;没有环境偏好。;TestVal1090
1091;Erase button header;删除多个物体;TestVal1091
1092;Erase button description;允许你快速移除世界中的多个物体。激活后，只需按住鼠标左键即可删除红色圆圈内的所有东西。;TestVal1092
1093;Lilac colour;淡紫色;TestVal1093
1094;Light grey colour;浅灰色;TestVal1094
1095;Dark grey colour;深灰色;TestVal1095
1096;Light pink colour;浅粉色;TestVal1096
1097;Ruby Colour;红宝石色;TestVal1097
1098;Out of world bounce warning;超出边界！;TestVal1098
1099;Bright Green Colour;亮绿色;TestVal1099
1100;Camel;骆驼;TestVal1100
1101;Camel Desc;一种生活在沙漠中的大型食草动物。这种优雅的野兽喜欢沙漠树木，能以仙人掌为食。不过它不太喜欢其他动物，而且有朝它们吐口水的习惯！;TestVal1101
1102;Spitting ability;偶尔向附近的动物吐口水。;TestVal1102
1103;Anger trait;愤怒;TestVal1103
1104;Spitting action;愤怒地吐口水;TestVal1104
1105;Coral;珊瑚;TestVal1105
1106;Coral;生活在水中色彩鲜艳的生物。它们在水下传播热带生物群系，但不能生活在河床中，所以不要把她们和普通的河床海藻放在一起！严格来说它们也不是植物，每块珊瑚都由成千上万只叫做珊瑚虫的微小动物组成。;TestVal1106
1107;Shell;贝壳;TestVal1107
1108;Shell;一个小贝壳，常见于水下或海滩。;TestVal1108
1109;Spitting Task;吐痰高手;TestVal1109
1110;Spitting Task;把骆驼放进沙漠后，你会发现它们有一个有趣的习性。生气时，骆驼会朝附近的其他动物吐口水！完成这个可重复任务需要它们命中目标 25 次。你可以通过基因改造让它们更快生气，以加快进度。;TestVal1110
1111;Spitting Task;向 25 只动物吐口水;TestVal1111
1112;Spitting Task;已命中的动物;TestVal1112
1113;Remove Many;批量移除……;TestVal1113
1114;Pause;慢动作;TestVal1114
1115;Spacebar;按住空格键;TestVal1115
1116;Notification Log;通知记录;TestVal1116
1117;No notifications message;还没有可显示的通知。;TestVal1117
1118;Unlock guide task section;该物种已锁定！完成以下任务即可解锁：;TestVal1118
1119;Unlock guide task section;该物种已锁定！要解锁它，请先完成这些任务：;TestVal1119
1120;Unlock Guide Title;解锁指南;TestVal1121
1121;Evolve Message;该物种已锁定！按以下顺序进化物种即可解锁：;TestVal122
1122;EvolveMessage;然后按以下顺序进化物种：;TestVal123
1123;Altitude Factor not good;不理想;TestVal124
1124;Salmon;鲑鱼;TestVal125
1125;Salmon;一种喜欢生活在河床生物群系中的相当大的鱼。这种挑剔的鱼对环境非常讲究，只有最高品质的河床生物群系并搭配正确的物种环绕，它才会满意。它比鳟鱼游得快，所以通常能逃脱掠食者。;TestVal126
1126;Angel Fish;天使鱼;TestVal127
1127;Angel Fish;一种美丽的热带鱼。天使鱼可以生活在热带生物群系中，甚至可以生活在河床和热带的混合环境中，但它绝对需要栖息地中有一些热带海藻。;TestVal128
1128;Royal Gramma Fish;皇家少女鱼;TestVal129
1129;Royal Gramma Fish;一种紫金色的鱼，喜欢生活在有大量珊瑚的热带栖息地中。它比普通鱼略小略慢，所以逃离掠食者时确实有些困难。;TestVal130
1130;Neon fish;霓虹鱼;TestVal131
1131;Neon fish;一种色彩极其鲜艳的热带鱼！这种动物的配色非常稀有，亮霓虹色在 Equilinox 其他地方很少见。相对而言，这种鱼也更容易进行基因改造，获得其他霓虹色，从而可以拥有大量不同颜色鲜艳的鱼。;TestVal132
1132;Neon Red;霓虹红;TestVal133
1133;Neon Orange;霓虹橙;TestVal134
1134;Neon Yellow;霓虹黄;TestVal135
1135;Neon Green;霓虹绿;TestVal136
1136;Neon Blue;霓虹蓝;TestVal137
1137;Neon Purple;霓虹紫;TestVal138
1138;Speed trait;速度特性;TestVal139
1139;Neon Pink;霓虹粉;TestVal140
1140;Fish Task;鱼类大师;TestVal141
1141;Fish Task;进化出所有可能的鱼类，让 Equilinox 的河流和湖泊充满丰富的野生动物！;TestVal142
1142;Pick Up Action;捡起;TestVal143
