ID;Description;English;Testing
720;Help Pages;多样性点数(DP);TestVal720
721;Help Pages;多样性点数是游戏内货币， 有各种赚取和花费的方式。;TestVal721
722;Help Pages;从动物赚取DP;TestVal722
723;Help Pages;赚取DP的一种方式是拥有动物。 每只动物每分钟产生少量DP。 动物越健康快乐， 产生的DP越多。 你从动物每分钟赚取的DP总量显示在工具栏上。;TestVal723
724;Help Pages;从任务赚取DP;TestVal724
725;Help Pages;完成游戏内任务是赚取DP的另一种方式。 完成任务时会获得DP奖励。 许多任务是^可重复的^， 意味着你可以反复完成并每次获得奖励。 这些任务可以为你提供稳定的DP收入。;TestVal725
726;Help Pages;商店;TestVal726
727;Help Pages;一旦你赚了一些DP， 你就会想花掉它！ 一种方式是在商店中购买新物种和物品。 点击你想购买的物品， 然后放置在世界中来购买它。;TestVal727
728;Help Pages;购买基因改造;TestVal728
729;Help Pages;DP的另一种用途是基因改造动物和植物的特征。 这在^遗传学^帮助部分有更多讨论， 但基本上你可以花DP来基因改造物种的特征。;TestVal729
730;Help Pages;解锁新物种;TestVal730
731;Help Pages;多样性点数的最终用途是用进化系统解锁新物种。 要开始进化新物种， 你首先需要支付DP价格。 要了解更多信息， 请查看^进化^帮助部分。;TestVal731
732;Help Pages;生态群落;TestVal732
733;Help Pages;当你开始用生命填充世界时， 你会注意到地形开始变色。 这些是生态群落， 由植物传播并被许多不同物种所需要。;TestVal733
734;Help Pages;传播生态群落;TestVal734
735;Help Pages;一些植物有能力在它们生长的地区周围传播生态群落。 不同植物传播不同生态群落。 你可以在^物种信息面板^中查看植物传播哪种生态群落。;TestVal735
736;Help Pages;生态群落用途;TestVal736
737;Help Pages;一些物种需要生活在特定生态群落中才能存活， 而其他有些生态群落它们完全无法忍受。 你可以在^物种信息面板^的^栖息地^栏中查看物种偏好哪些生态群落。 进化新物种时通常也需要某些生态群落。;TestVal737
738;Help Pages;生态测试工具;TestVal738
739;Help Pages;在屏幕顶部的工具栏中你可以找到^生态测试器^工具。 选择此工具后， 你可以将鼠标悬停在地形的任何部分来查看该点各种生态群落的强度。;TestVal739
740;Help Pages;遗传学;TestVal740
741;Help Pages;你世界中的每棵植物和动物都有特征。 特征决定了植物或动物的某些特性， 并在繁殖时传递给后代。;TestVal741
742;Help Pages;特征;TestVal742
743;Help Pages;植物/动物的特征决定了它的某些特性， 如速度、 颜色或产出率。 你可以通过点击任何野生动植物打开状态面板并进入特征栏来查看其特征。;TestVal743
744;Help Pages;繁殖;TestVal744
745;Help Pages;当植物或动物繁殖时， 它们的特征会传递给后代， 但带有轻微变异。 这意味着后代通常会有与父母相似的外观和特征。;TestVal745
746;Help Pages;选择性繁殖;TestVal746
747;Help Pages;在特征栏中你会找到选择性繁殖该生物的选项。 选择此选项使该动物或植物成为当地地区的主要繁殖者。 几乎所有繁殖都会涉及该植物或动物， 意味着许多后代会有与它相似的特征。 这是复制你喜欢的某些特征的好方法。;TestVal747
748;Help Pages;基因改造;TestVal748
749;Help Pages;你可以花DP来修改繁殖时传递的特征。 选择^选择性繁殖^选项后， 点击特征旁边的按钮选择改造。 满意后， 你可以花一些DP购买改造。 这些改造在繁殖时传递特征时应用， 所以结果只会在后代中可见。;TestVal749
750;Help Pages;入门指南;TestVal750
751;Help Pages;欢迎来到Equilinox！ 本节将教你游戏的基础知识， 让你开始创建第一个生态系统。;TestVal751
752;Help Pages;物种商店;TestVal752
760;Help Pages;进化物种;TestVal760
761;Help Pages;随着游戏进展， 你将能够进化当前野生动植物来解锁令人兴奋的新物种！;TestVal761
762;Help Pages;进化树;TestVal762
763;Help Pages;Equilinox中的许多物种必须先从其他物种进化。 你可以在^物种信息面板^中点击^进化树栏^查看物种的进化树。 这显示了可以从所选植物/动物进化的所有物种。;TestVal763
764;Help Pages;进化条件;TestVal764
765;Help Pages;要进化新物种必须满足某些条件。 将鼠标悬停在进化树中未发现的物种上可查看进化该物种的条件。 父物种需要满足这些条件才能解锁子物种。 这些条件可能是生活在特定生态群落、 有特定饮食或特定颜色等。;TestVal765
766;Help Pages;开始进化过程;TestVal766
767;Help Pages;要开始进化， 点击世界中你想进化的植物或动物并进入^进化^栏。 在这里你可以看到能进化哪些子物种。 点击子物种旁边的箭头查看条件， 如果条件满足你可以花一些DP开始进化过程！;TestVal767
768;Help Pages;进化中;TestVal768
769;Help Pages;一旦你开始了进化过程， 会显示一个进度条。 当进化条件仍然满足时， 进度会随时间慢慢增加。 当进度条到达末端时， 新物种就会诞生！;TestVal769
770;Help Pages;新物种;TestVal770
771;Help Pages;新的植物或动物物种会出现在世界中父母附近。 它头上有一个图标所以很容易发现！ 这个新物种需要自己的生活区域， 所以你可以点击它拾起并放置在合适的位置。;TestVal771
772;Help Pages;状态面板;TestVal772
773;Help Pages;你可以点击世界中任何植物或动物打开其状态面板。 该面板包含你选择的植物/动物的属性和信息， 还允许你对它进行一些修改。;TestVal773
774;Help Pages;状态栏;TestVal774
775;Help Pages;第一个栏是状态栏， 显示生物的当前状态。 包括年龄、 健康、 环境满意度和饥饿度等。 对于动物还显示当前饮食和当前行为。;TestVal775
776;Help Pages;特征栏;TestVal776
777;Help Pages;此栏显示植物或动物从父母继承的特征。 你还会找到选择性繁殖和基因改造特征的选项。 你可以在^遗传学^帮助部分了解更多。;TestVal777
778;Help Pages;进化栏;TestVal778
779;Help Pages;Equilinox中的一些物种可以进化来解锁新物种。 在进化栏中你可以开始子物种的进化过程。 你可以在^进化物种^帮助部分了解更多。;TestVal779
780;Help Pages;增益栏;TestVal780
781;Help Pages;动物或植物的行为可能受周围环境影响。 例如， 果树在昆虫住在附近时会获得果实产出加成。 此栏显示生物当前如何被影响， 鼠标悬停在增益上会解释原因。;TestVal781
782;Help Pages;操作;TestVal782
783;Help Pages;操作栏提供你可以对生物执行的各种操作。 包括从世界中移除、 移动到不同位置或接管动物的移动等。;TestVal783
784;Help Pages;信息按钮;TestVal784
785;Help Pages;点击信息按钮打开^物种信息面板^。 该面板包含关于此特定物种的一般信息。;TestVal785
786;Rose;玫瑰;TestVal786
787;Rose;一朵美丽的玫瑰。 通常玫瑰长在小灌木丛中， 但这朵不是！ 这种令人愉悦的花可以在许多不同生态群落中快乐生长。;TestVal787
788;Sunflower;向日葵;TestVal788
789;Sunflower;一朵转向太阳的高大黄花。 这种花偏好生活在没有树的地区， 这样它就能全天看到太阳。;TestVal789
790;Pansies;三色堇;TestVal790
791;Pansies;一小丛色彩美丽的花。 在大多数肥沃地区生长良好， 但不能在丛林中生长。;TestVal791
792;Lily;百合;TestVal792
793;Lily;一丛小型白色林地花。 这些花能在大多数绿色生态群落中生长， 对蜜蜂有镇静效果。;TestVal793
794;Follow entity UI title;跟随中;TestVal794
795;Game saved message;游戏已保存！;TestVal795
796;Biome Name;草原;TestVal796
797;Biome Name;森林;TestVal797
798;Biome Name;河床;TestVal798
799;Biome Name;沙漠;TestVal799
800;Biome Name;雪地;TestVal800
801;Biome Name;丛林;TestVal801
802;Biome Name;沼泽;TestVal802
803;Biome Name;葱郁;TestVal803
804;Biome Name;林地;TestVal804
805;Biome Name;热带;TestVal805
806;Category Name;植物;TestVal806
807;Category Name;动物;TestVal807
808;Category Name;非生物;TestVal808
809;Category Name;树木;TestVal809
810;Category Name;森林树;TestVal810
811;Category Name;草原树;TestVal811
812;Category Name;林地树;TestVal812
813;Category Name;葱郁树;TestVal813
814;Category Name;沙漠树;TestVal814
815;Category Name;山地树;TestVal815
816;Category Name;沼泽树;TestVal816
817;Category Name;丛林树;TestVal817
818;Category Name;热带树;TestVal818
819;Category Name;灌木;TestVal819
820;Category Name;仙人掌;TestVal820
821;Category Name;小型植物;TestVal821
822;Category Name;水生植物;TestVal822
823;Category Name;草类;TestVal823
824;Category Name;根茎蔬菜;TestVal824
825;Category Name;蔬菜植物;TestVal825
826;Category Name;蕨类;TestVal826
827;Category Name;花;TestVal827
828;Category Name;草本植物;TestVal828
829;Category Name;蘑菇;TestVal829
830;Category Name;果实灌木;TestVal830
831;Category Name;多叶灌木;TestVal831
832;Category Name;岩石/石子;TestVal832
833;Category Name;石子;TestVal833
834;Category Name;大岩石;TestVal834
835;Category Name;其他;TestVal835
836;Category Name;云;TestVal836
837;Category Name;掉落果实;TestVal837
838;Category Name;蔬菜;TestVal838
839;Category Name;坚果;TestVal839
840;Category Name;肉;TestVal840
841;Category Name;结构;TestVal841
842;Category Name;鱼;TestVal842
843;Category Name;小鱼;TestVal843
844;Category Name;大鱼;TestVal844
845;Category Name;食草动物;TestVal845
846;Category Name;鸟类;TestVal846
847;Category Name;小鸟;TestVal847
848;Category Name;猛禽;TestVal848
849;Category Name;食肉动物;TestVal849
850;Category Name;小型食肉动物;TestVal850
851;Category Name;大型食肉动物;TestVal851
852;Category Name;昆虫;TestVal852
853;Category Name;爬行动物;TestVal853
854;Category Name;大型食草动物;TestVal854
855;Category Name;中型食草动物;TestVal855
856;Category Name;小型食草动物;TestVal856
857;Sounds from website, in credits;使用音效来自;TestVal857
858;Sounds from website, in credits;使用更多音效来自;TestVal858
859;Check List Category;植物清单;TestVal859
860;Check List Category;动物清单;TestVal860
861;Check List Category;音乐曲目清单;TestVal861
862;Check List Category;任务清单;TestVal862
863;Progress text in progress bar;进度;TestVal863
864;Hunting Task requirement, 0=prey;已猎杀$0$;TestVal864
865;Hunting Task requirement, 0=count, 1=predator, 2=prey;让一只 $1$ 猎杀 $0$ 只 $2$;TestVal865
866;Fox Hunting Task;狐狸狩猎;TestVal866
867;Fox Hunting Task;Equilinox中不是所有动物都可爱。 有些是凶猛的野兽， 以猎物的血为食！ 狐狸需要吃肉， 所以把它们放在有鸡或其他合适小生物的区域附近让它们去狩猎。;TestVal867
868;Wolf hunting task;披着羊皮的狼;TestVal868
869;Wolf hunting task;狼饿了， 绵羊是菜单上的菜。 在绵羊区域附近创建狼的区域。 狼会定期去狩猎捕捉绵羊。;TestVal869
870;Dp per minute stat;每分钟基础DP;TestVal870
871;Disease Resistance stat;抗病性;TestVal871
872;Age stat;年龄;TestVal872
873;Species Evolved Notification;物种已进化！;TestVal873
874;Species Evolved Notification;你已成功进化了 一只;TestVal874
875;Health Stats;健康;TestVal875
876;Health Stats;环境;TestVal876
877;Health Stats;饥饿;TestVal877
878;Health Stats;预期寿命;TestVal878
879;Health Stats;种群密度;TestVal879
880;Health Stats;伤害;TestVal880
881;Health Stats;疾病;TestVal881
882;Growth Stat;生长;TestVal882
883;Growth Time stat;生长时间;TestVal883
884;Number of a species in the world text;在世界中;TestVal884
885;World Name;世界名称;TestVal885
886;Hide UI Option;隐藏UI;TestVal886
887;Reset Camera Option;重置;TestVal887
888;Save Stats;上次游玩;TestVal888
889;Save Stats;种群数量;TestVal889
890;Save Stats;已完成任务;TestVal890
891;Save Stats;点数;TestVal891
892;Time Words;年;TestVal892
893;Time Words;年;TestVal893
894;Time Words;天;TestVal894
895;Time Words;天;TestVal895
896;Time Words;小时;TestVal896
897;Time Words;小时;TestVal897
898;Size Trait Name;体型;TestVal898
899;Edibility Trait Name;可食性;TestVal899
900;Food Section Name;叶子;TestVal900
901;Food Section Name;花蜜;TestVal901
902;Food Section Name;植物;TestVal902
903;Food Section Name;肉;TestVal903
904;Food Section Name;种子;TestVal904
905;Food Section Name;仙人掌水;TestVal905
906;Food Section Name;果实;TestVal906
907;Food Section Name;芜菁;TestVal907
908;Food Section Name;胡萝卜;TestVal908
909;Food Section Name;整棵植物;TestVal909
910;Food Section Name;土豆;TestVal910
911;Food Section Name;蜂蜜;TestVal911
912;Food Section Name;树皮;TestVal912
913;Natural Colour Stat;自然颜色;TestVal913
914;Biome spreader stat (this plant spreads...);传播;TestVal914
915;Biome;生态群落;TestVal915
916;Species Category;分类;TestVal916
917;Unsuitable biomes factor name;不适宜生态群落;TestVal917
918;Liked Species Factor;喜欢的物种;TestVal918
919;Fave Biome Factor;最爱生态群落;TestVal919
920;Environment;环境;TestVal920
921;Enviro satisfaction requirement;满意度;TestVal921
922;Below (an altitude);低于;TestVal922
923;Above (an altitude);高于;TestVal923
924;and;和;TestVal924
925;Between (two altitudes);介于;TestVal925
926;Transplant Option for entities;移植;TestVal926
927;Remove Option for Entity;移除;TestVal927
928;Follow Option for entity;跟随;TestVal928
929;Dp per minute;DP/分;TestVal929
930;Make noise option for animals;发出声音;TestVal930
931;Entity speed stat;速度;TestVal931
932;meters per second;米/秒;TestVal932
933;Bounce power stat;弹跳力;TestVal933
934;Bounce power units;弹;TestVal934
935;Target (colour);目标;TestVal935
936;Cost;费用;TestVal936
937;Cancel;取消;TestVal937
938;Buy;购买;TestVal938
939;Colours;自定义;TestVal939
940;Colours;红色;TestVal940
941;Colours;黄色;TestVal941
942;Colours;橙色;TestVal942
943;Colours;深橙色;TestVal943
944;Colours;浅蓝色;TestVal944
945;Colours;深蓝色;TestVal945
946;Colours;粉色;TestVal946
947;Colours;紫色;TestVal947
948;Colours;深紫色;TestVal948
949;Colours;青色;TestVal949
950;Colours;米色;TestVal950
951;Colours;泥色;TestVal951
952;Colours;棕色;TestVal952
953;Colours;深棕色;TestVal953
954;Colours;黄绿色;TestVal954
955;Colours;深绿色;TestVal955
956;Colours;蓝绿色;TestVal956
957;Colours;浅绿色;TestVal957
958;Colours;绿色;TestVal958
959;Colours;淡绿色;TestVal959
960;Colours;泥绿色;TestVal960
961;Colours;金色;TestVal961
962;Colours;白色;TestVal962
963;Colours;灰色;TestVal963
964;Colours;黑色;TestVal964
965;Display Size setting;显示大小;TestVal965
966;Language setting;语言;TestVal966
967;Restart message;请重启游戏以使更 改生效。;TestVal967
968;Full screen option;全屏;TestVal968
969;Graphics Presets;画质预设;TestVal969
970;Graphics Presets;自定义;TestVal970
971;Graphics Presets;最低;TestVal971
972;Graphics Presets;低;TestVal972
973;Graphics Presets;中;TestVal973
974;Graphics Presets;高;TestVal974
975;Floppy Tree Name;宝塔树;TestVal975
976;Floppy Tree Desc;一种优雅的草原树， 在较潮湿的地区生长旺盛。 也能在沼泽和丛林环境中存活， 偏好多石区域。 生长缓慢， 但看起来非常壮观！;TestVal976
977;Half Grown Oak Task;半成熟的橡树;TestVal977
978;Half Grown Oak Task;将一棵橡树培育到 50% 以上成熟度;TestVal978
979;Baby sheep behaviour description;四处玩耍;TestVal979
980;Trait modification increase amount label;增加;TestVal980
981;Trait;特征;TestVal981
982;Earning Dp task name;现金入账;TestVal982
983;Earning DP task description;多样性点数(DP)是你在Equilinox中的货币。 你可以从动物或完成任务中赚取DP。 每只动物每分钟产生少量DP， 更健康、 更快乐、 完全成年的动物产出更多。 在工具栏中你可以看到动物每分钟为你赚取的DP总量。;TestVal983
984;DP earning requirement short desc;每分钟DP;TestVal984
985;DP earning requirement long desc, 0 = amount;每分钟赚取超过 $0$DP;TestVal985
986;View plant option;查看;TestVal986
987;Honey Name;蜂蜜;TestVal987
988;Growth Speed;生长速率;TestVal988
989;Growth explanation;生长受植物 / 动物对其环境适 应程度的 影响。;TestVal989
990;Population Status;平均;TestVal990
991;Population Status;高;TestVal991
992;Population Status;低;TestVal992
993;Yield Trait (how many fruit/vegetables produced by a plant);产量;TestVal993
994;Potato unit;个土豆;TestVal994
995;Viewing entity title;正在查看;TestVal995
996;Sleeping Ability;夜间睡觉。;TestVal996
997;Repeat tool tip title;循环播放;TestVal997
998;Repeat tool tip;队列中的曲目将循环播放， 让你创建喜欢的曲目播放列表。;TestVal998
999;Disease Status Stat name;状态;TestVal999
1000;Dieseased;生病了！;TestVal1000
1001;Not Diseased;健康;TestVal1001
1002;Generation (as in family and decendants generations);世代;TestVal1002
1003;Corrupt File;文件损坏;TestVal1003
1004;Corrupt File Message;此世界的存档文件无法读取。 请使用下方按钮删除此存档。;TestVal1004
1005;Corrupt File Name;错误;TestVal1005
1006;Error message;加载世界时出错！;TestVal1006
1007;Healbloom Flower;愈伤花;TestVal1007
1008;Healbloom Description;这种稀有花只能生长在非常特定的热带地区， 比普通花生长慢得多。 完全长成后可以将植株移植到另一个区域， 它会死亡并释放珍贵的种子。 种子具有治疗特性， 对生病的动物非常有用。;TestVal1008
1009;Disease Notification;疾病！;TestVal1009
1010;Disease message, 0 = animal name;一只 $0$ 因栖息地质量差而 感染了疾病。;TestVal1010
1011;Searching for disease cure behaviour;寻找治疗方法;TestVal1011
1012;Autumnal Tree;秋色树;TestVal1012
1013;Autumnal Tree;一棵全年都有秋叶色的大树。 这种美丽的树偏好独自在多石地区生长， 不需要非常肥沃的土地。;TestVal1013
1014;Disease liklihood buff name;患病几率;TestVal1014
1015;Heal liklihood buff name;治愈几率;TestVal1015
1016;Disease liklihood explained;这是此动物在下一天内患病的几率。 如果动物对环境不满意或抗病性特征较低， 患病几率会增加。;TestVal1016
1017;Heal liklihood explained;每次动物受到疾病伤害时都有几率被治愈。 这是治愈发生的几率。 更健康的动物治愈几率更高。;TestVal1017
1018;Disease Help Page Info;疾病;TestVal1018
1019;Disease Help Page Info;如果动物生活在劣质栖息地中， 它们容易感染疾病。 生病的动物会随时间受到伤害， 还可能将疾病传播给附近的其他动物。;TestVal1019
1020;Disease Help Page Info;感染疾病;TestVal1020
1021;Disease Help Page Info;动物感染疾病的几率取决于其环境满意度。 动物对环境越不满意， 患病的几率就越大。 动物还有一个抗病性特征， 决定了它患病的倾向程度。;TestVal1021
1022;Disease Help Page Info;疾病效果;TestVal1022
1023;Disease Help Page Info;患病后动物会随时间慢慢受到伤害， 如果不治愈最终会死亡。 动物还能感染附近的其他动物， 健康度较低的动物被感染的风险更高。;TestVal1023
1024;Disease Help Page Info;治愈疾病;TestVal1024
1025;Disease Help Page Info;感染的动物有几率自然治愈， 环境越好治愈几率越高。 还有一些植物可以帮助治疗动物， 如愈伤花的种子或巫木树的果实。;TestVal1025
1026;Starting Help Page Info;多样性点数(DP);TestVal1026
1027;Starting Help Page Info;在屏幕左上角你可以看到拥有的多样性点数。 这些点数是Equilinox中的货币。 你可以通过完成任务和拥有健康快乐的动物来赚取DP。 DP可以用于各种事情， 如从商店购买物品、 基因改造野生动植物和进化新物种。 要了解更多信息， 请查看^多样性点数^帮助部分。;TestVal1027
1028;Starting Help Page Info;商店;TestVal1028
1029;Starting Help Page Info;Equilinox中有两个商店， 一个卖植物一个卖动物。 点击商店中已解锁且买得起的物种， 然后在你想放置的位置左键点击将其放入世界。 随着游戏进展你会解锁越来越多的物种。;TestVal1029
1030;Starting Help Page Info;状态面板;TestVal1030
1031;Starting Help Page Info;一旦你在世界中放置了一些植物或动物， 你可以点击世界中的生物来查看其状态。 这会打开状态面板。 在这里你可以找到关于动物/植物的所有统计信息， 如健康、 年龄、 环境满意度等。 你可以在^状态面板^帮助部分了解更多关于此面板其他功能的信息。;TestVal1031
1032;Starting Help Page Info;任务;TestVal1032
1033;Starting Help Page Info;Equilinox中有各种任务可以完成， 这些任务会为你提供各种奖励如DP、 新音乐曲目和世界中的新物种。 前几个任务会带你了解游戏基础， 所以跟着它们开始取得一些进展吧！;TestVal1033
1034;Starting Help Page Info;多样化;TestVal1034
1035;Starting Help Page Info;现在你可以开始在Equilinox中创建自己的生态系统了！ 随着进展你会接触到越来越多不同种类的植物和动物， 你将能够创建一些复杂而美丽的生态系统。 只要确保保持它们的平衡和稳定！;TestVal1035
1036;Witch Wood Tree;巫木树;TestVal1036
1037;Witch Wood Tree;这种高大的藤蔓树生长在非常特定的丛林地区， 比大多数普通树生长更慢。 完全长成后， 这种树会产出亮蓝色的果实， 可以喂给生病的动物来治愈它们。;TestVal1037
1038;Witchwood Fruit;巫木果;TestVal1038
1039;Witchwood Fruit;这种亮蓝色的果实可以喂给生病的动物。 食用后对动物有治疗效果， 能治愈其疾病并恢复一些伤害。;TestVal1039
1040;Borderless window option;无边框窗口;TestVal1040
1041;Paused Evolution process;已暂停;TestVal1041
1042;Take over evolving process;接管进化;TestVal1042
1043;Continue Evolving Process;继续进化;TestVal1043
1044;Evolve process stopped notification;进化已暂停！;TestVal1044
1045;Evolve process stopped notification, 0 = name of species;执行 $0$ 进化过程的 生物已经死亡。;TestVal1045
1046;How to evolve disgram - title;如何进化;TestVal1046
1047;Evolution Tree diagram title;进化树;TestVal1047
1048;Dove Bird Name;白鸽;TestVal1048
1049;Dove description;一只美丽的 白色鸟。;TestVal1049
1050;In the categories filter (in the shop), the SHOW ALL option;全部;TestVal1050
1051;No Requirement for shop filter;无要求;TestVal1051
1052;Shop filter, lives in biome filter;生活在生态群落;TestVal1052
1053;Shop Filter, spreads biome filter;传播生态群落;TestVal1053
1054;Lives in biome prefix;生活在;TestVal1054
1055;Spreads biome prefix;传播;TestVal1055
1056;Brown Stones Name;棕色石子;TestVal1056
1057;Brown Rocks Name;岩石;TestVal1057
1058;Brown Stones Description;一堆棕色小石子。 各种植物和动物喜欢栖息地中有小石子和岩石。;TestVal1058
1059;Bigger UI option;放大界面;TestVal1059
1060;Beaver Ability;砍伐树木并 用树枝建造巢穴。;TestVal1060
1061;Trait being displayed;显示中;TestVal1061
1062;Fruit productivity trait name;生产力;TestVal1062
1063;Evolution status section of progress list;进化概览;TestVal1063
1064;Which species it evolves from;进化自;TestVal1064
1065;Control a Sheep Task Name;控制一只绵羊;TestVal1065
1066;Control Sheep desc;你可以控制动物并随意移动它们。 点击一只绵羊， 进入^操作^栏， 选择^接管控制^选项。 查看控制栏了解如何控制动物行为的信息。;TestVal1066
1067;Completionist Task name;完美主义者;TestVal1067
1068;Completionist task desc;完成 Equilinox 中的所有任务！;TestVal1068
1069;Vsync Option;垂直同步;TestVal1069
1070;Delete entity option;删除模式;TestVal1070
1071;Follow selected entity option;跟随选中对象;TestVal1071
1072;Screenshot option;截图;TestVal1072
1073;Evolution task Requirement, $0$=species name;进化$0$物种;TestVal1073
1074;Perch Spot Behaviour;为鸟类提供筑巢点 。;TestVal1074
1075;Mutation Notification;变异！;TestVal1075
1076;Mutation Notification, 0 = species name;一只奇怪的$0$出生了， 带有不寻常的变异。;TestVal1076
1077;Potato Eating Task Name;土豆派对;TestVal1077
1078;Potato Eating Task Name;豚鼠想吃一些土豆， 所以由你来为它们提供！ 它们不想只吃植物叶子， 它们想吃土豆本身。 不过它们可能需要其他动物帮忙先把土豆挖出来。;TestVal1078
1079;Banana;香蕉;TestVal1079
1080;Error saving;保存时出错！ 请通知开发者。;TestVal1080
1081;second cam move controls;或    W,A,S,D;TestVal1081
1082;second cam rotate controls;或    左Shift+移动鼠标;TestVal1082
1083;second cam zoom controls;或    X,Z键;TestVal1083
1084;Beehive contents;蜂蜜;TestVal1084
1085;Honey stat;蜂蜜含量;TestVal1085
1086;Placement Feedback;没问题;TestVal1086
1087;Placement Feedback;必须放置在 陆地上！;TestVal1087
1088;Placement Feedback;需要更多水！;TestVal1088
1089;Placement Feedback;另一个物体太近了 。;TestVal1089
1090;No environmental factors note;没有环境偏好。;TestVal1090
1091;Erase button header;批量删除对象;TestVal1091
1092;Erase button description;允许你快速移除世界中的多个对象。 激活后， 只需按住鼠标左键即可删除红色圆圈内的所有东西。;TestVal1092
1093;Lilac colour;淡紫色;TestVal1093
1094;Light grey colour;浅灰色;TestVal1094
1095;Dark grey colour;深灰色;TestVal1095
1096;Light pink colour;浅粉色;TestVal1096
1097;Ruby Colour;宝石红;TestVal1097
1098;Out of world bounce warning;超出边界！;TestVal1098
1099;Bright Green Colour;亮绿色;TestVal1099
1100;Camel;骆驼;TestVal1100
1101;Camel Desc;一种生活在沙漠中的大型食草动物。 这种优雅的巨兽喜欢沙漠树， 能以仙人掌为食。 不过它不喜欢其他动物， 有向它们吐口水的习惯！;TestVal1101
1102;Spitting ability;偶尔向附近的 动物吐口水。;TestVal1102
1103;Anger trait;愤怒;TestVal1103
1104;Spitting action;愤怒地吐口水;TestVal1104
1105;Coral;珊瑚;TestVal1105
1106;Coral;生活在水中的色彩鲜艳的生物。 它们在水下传播热带生态群落， 但无法生活在河床中， 所以不要把它们和普通河床海草放在一起！ 它们严格来说也不是植物， 每个珊瑚由数千个叫做^珊瑚虫^的微小动物组成。;TestVal1106
1107;Shell;贝壳;TestVal1107
1108;Shell;一个小贝壳， 通常在水下或海滩上发现。;TestVal1108
1109;Spitting Task;口水大战;TestVal1109
1110;Spitting Task;一旦你在沙漠中添加了骆驼， 你会发现它们有一个有趣的习惯。 当被激怒时骆驼会向附近的其他动物吐口水！ 它们需要命中目标25次才能完成这个可重复任务。 你可以基因改造让它们更快被激怒来加速过程。;TestVal1110
1111;Spitting Task;向 25 只动物吐口水;TestVal1111
1112;Spitting Task;命中动物数;TestVal1112
1113;Remove Many;批量移除...;TestVal1113
1114;Pause;慢动作;TestVal1114
1115;Spacebar;按住空格键;TestVal1115
1116;Notification Log;通知日志;TestVal1116
1117;No notifications message;暂无通知。;TestVal1117
1118;Unlock guide task section;此物种已锁定！ 完成以下任务来解锁它：;TestVal1118
1119;Unlock guide task section;此物种已锁定！ 要解锁它， 请先完成这些任务：;TestVal1119
1120;Unlock Guide Title;解锁指南;TestVal1121
1121;Evolve Message;此物种已锁定！ 按以下顺序进化物种来解锁它：;TestVal122
1122;EvolveMessage;然后按以下顺序进 化物种：;TestVal123
1123;Altitude Factor not good;不理想;TestVal124
1124;Salmon;三文鱼;TestVal125
1125;Salmon;一种较大的鱼， 喜欢生活在河床生态群落中。 这种挑剔的鱼对环境非常讲究， 只喜欢最高质量的河床生态群落并有正确的物种陪伴。 它比鳟鱼游得快， 所以通常能逃脱捕食者。;TestVal126
1126;Angel Fish;神仙鱼;TestVal127
1127;Angel Fish;一种美丽的热带鱼。 神仙鱼能生活在热带生态群落中， 甚至河床和热带混合的区域也可以， 但它的栖息地中必须有一些热带海草。;TestVal128
1128;Royal Gramma Fish;紫印鱼;TestVal129
1129;Royal Gramma Fish;一种紫色和金色的鱼， 偏好生活在有大量珊瑚的热带栖息地。 它比普通鱼稍小稍慢， 所以逃脱捕食者有些困难。;TestVal130
1130;Neon fish;霓虹鱼;TestVal131
1131;Neon fish;一种色彩非常鲜艳的热带鱼！ 这种动物有非常稀有的颜色， 带有明亮的霓虹色， 在Equilinox其他地方不常见。 而且相对容易基因改造这种鱼使其拥有其他霓虹色， 可以创造出各种色彩鲜艳的鱼。;TestVal132
1132;Neon Red;霓虹红;TestVal133
1133;Neon Orange;霓虹橙;TestVal134
1134;Neon Yellow;霓虹黄;TestVal135
1135;Neon Green;霓虹绿;TestVal136
1136;Neon Blue;霓虹蓝;TestVal137
1137;Neon Purple;霓虹紫;TestVal138
1138;Speed trait;速度特征;TestVal139
1139;Neon Pink;霓虹粉;TestVal140
1140;Fish Task;鱼类大师;TestVal141
1141;Fish Task;进化所有可能的鱼类， 让Equilinox的河流和湖泊充满野生动植物！;TestVal142
1142;Pick Up Action;拾起;TestVal143
1143;Shop Item Availability;可用;TestVal144
1144;Simulation Mode;模拟模式;TestVal145
1145;Creative Mode;创造模式;TestVal146
1146;No Cost;免费;TestVal147
1147;Confirm button;确认;TestVal148
1148;Game Mode Options;游戏模式;TestVal149
1149;Normal Mode;普通模式;TestVal150
1150;Jelly Fish;水母;TestVal151
1151;Jelly Fish;一种有触手的奇怪漂浮鱼。 水母生活在热带水域， 会蛰任何碰到其垂下触手的动物。;TestVal152
1152;Stinging Ability;蛰任何碰到 它的动物。;TestVal153
1153;Weird Fish Category;奇异鱼;TestVal154
1154;Stinging Power Trait;蛰刺力;TestVal155
1155;Starbloom Bush;星花灌木;TestVal156
1156;Starbloom Bush;这种丛林植物有令人难以置信的花， 每年只开放一天！ 在Equilinox新年开始时， 星花灌木会展示美丽的表演， 当花朵绽放时照亮夜空。 它需要非常肥沃的丛林生态群落才能存活。;TestVal157
1157;Bloom Ability;每年年初开花一天 。;TestVal158
1158;Time till bloom stat;下次开花;TestVal159
1159;Blooming Status;开花中;TestVal160
1160;Days;天;TestVal161
